name|version|usedBy|authors|license|package site
Microsoft.Bcl|1.1.10|AccountsService, CertificateProvisionService, Common, EmailService, Gator, IDXService, ImageService, ImportFriendsService, IndexCreationService, Infrastructure, JWTService, KeyEncryptionService, KeyManagementService, microdot, NotificationsService, OpenIdProviderService, OpenIdRPService, PartnersService, PasswordService, PolicyService, RBAService, ReportsService, SamlSpService, SchemaService, ScreenSetsService, SessionService, SiteGroupService, SocialService, TFAProvidersService, TFAService, TokenService, UserIdService, UserManagement, USMService|Microsoft|http://go.microsoft.com/fwlink/?LinkId=329770|http://go.microsoft.com/fwlink/?LinkID=280057
Microsoft.Bcl.Async|1.0.168|AccountsService, CertificateProvisionService, Common, EmailService, Gator, IDXService, ImageService, ImportFriendsService, IndexCreationService, Infrastructure, JWTService, KeyEncryptionService, KeyManagementService, microdot, NotificationsService, OpenIdProviderService, OpenIdRPService, PartnersService, PasswordService, PolicyService, RBAService, ReportsService, SamlSpService, SchemaService, ScreenSetsService, SessionService, SiteGroupService, SocialService, TFAProvidersService, TFAService, TokenService, UserIdService, UserManagement, USMService|Microsoft|http://go.microsoft.com/fwlink/?LinkId=329770|http://go.microsoft.com/fwlink/?LinkID=280056
Microsoft.Bcl.Build|1.0.21|AccountsService, CertificateProvisionService, Common, EmailService, Gator, IDXService, ImageService, ImportFriendsService, IndexCreationService, Infrastructure, JWTService, KeyEncryptionService, KeyManagementService, microdot, NotificationsService, OpenIdProviderService, OpenIdRPService, PartnersService, PasswordService, PolicyService, RBAService, ReportsService, SamlSpService, SchemaService, ScreenSetsService, SessionService, SiteGroupService, SocialService, TFAProvidersService, TFAService, TokenService, UserIdService, UserManagement, USMService|Microsoft|http://go.microsoft.com/fwlink/?LinkId=329770|http://go.microsoft.com/fwlink/?LinkID=296436
Microsoft.CodeAnalysis.Analyzers|1.1.0|AccountsService, EmailService, ImageService, ImportFriendsService, IndexCreationService, Infrastructure, JWTService, microdot, NotificationsService, OpenIdProviderService, OpenIdRPService, PartnersService, PasswordService, PolicyService, RBAService, ReportsService, RequestService, SamlSpService, SchemaService, ScreenSetsService, SessionService, SiteConfigService, SiteConfigService\HierarchyService, SiteConfigService\SetSiteConfigService, SiteConfigService\SiteConfigGetterService, SiteGroupService, SitesService, SocialService, SubscriptionService, TFAProvidersService, TFAService, TokenService, UserIdService, UserManagement, USMService|Microsoft|http://go.microsoft.com/fwlink/?LinkId=529443|http://msdn.com/roslyn
Microsoft.CodeAnalysis.Common|1.3.2|AccountsService, EmailService, ImageService, ImportFriendsService, IndexCreationService, Infrastructure, JWTService, microdot, NotificationsService, OpenIdProviderService, OpenIdRPService, PartnersService, PasswordService, PolicyService, RBAService, ReportsService, RequestService, SamlSpService, SchemaService, ScreenSetsService, SessionService, SiteConfigService, SiteConfigService\HierarchyService, SiteConfigService\SetSiteConfigService, SiteConfigService\SiteConfigGetterService, SiteGroupService, SitesService, SocialService, SubscriptionService, TFAProvidersService, TFAService, TokenService, UserIdService, UserManagement, USMService|Microsoft|http://go.microsoft.com/fwlink/?LinkId=529443|http://msdn.com/roslyn
Microsoft.CodeAnalysis.CSharp|1.3.2|AccountsService, EmailService, ImageService, ImportFriendsService, IndexCreationService, Infrastructure, JWTService, microdot, NotificationsService, OpenIdProviderService, OpenIdRPService, PartnersService, PasswordService, PolicyService, RBAService, ReportsService, RequestService, SamlSpService, SchemaService, ScreenSetsService, SessionService, SiteConfigService, SiteConfigService\HierarchyService, SiteConfigService\SetSiteConfigService, SiteConfigService\SiteConfigGetterService, SiteGroupService, SitesService, SocialService, SubscriptionService, TFAProvidersService, TFAService, TokenService, UserIdService, UserManagement, USMService|Microsoft|http://go.microsoft.com/fwlink/?LinkId=529443|http://msdn.com/roslyn
Microsoft.Extensions.DependencyInjection|1.1.1|AccountsService, Common, EmailService, Gator, ImageService, ImportFriendsService, IndexCreationService, Infrastructure, JWTService, microdot, NotificationsService, OpenIdProviderService, OpenIdRPService, PartnersService, PasswordService, PolicyService, RBAService, ReportsService, RequestService, SamlSpService, SchemaService, ScreenSetsService, SessionService, SiteConfigService, SiteConfigService\HierarchyService, SiteConfigService\SetSiteConfigService, SiteConfigService\SiteConfigGetterService, SiteGroupService, SitesService, SocialService, SubscriptionService, TFAProvidersService, TFAService, TokenService, UserIdService, UserManagement, USMService|Microsoft|http://www.microsoft.com/web/webpi/eula/net_library_eula_enu.htm|http://www.asp.net/
Microsoft.Extensions.DependencyInjection.Abstractions|1.1.1|AccountsService, Common, EmailService, Gator, ImageService, ImportFriendsService, IndexCreationService, Infrastructure, JWTService, microdot, NotificationsService, OpenIdProviderService, OpenIdRPService, PartnersService, PasswordService, PolicyService, RBAService, ReportsService, RequestService, SamlSpService, SchemaService, ScreenSetsService, SessionService, SiteConfigService, SiteConfigService\HierarchyService, SiteConfigService\SetSiteConfigService, SiteConfigService\SiteConfigGetterService, SiteGroupService, SitesService, SocialService, SubscriptionService, TFAProvidersService, TFAService, TokenService, UserIdService, UserManagement, USMService|Microsoft|http://www.microsoft.com/web/webpi/eula/net_library_eula_enu.htm|http://www.asp.net/
Microsoft.Orleans.Core|1.3.1|AccountsService, Common, EmailService, ImageService, ImportFriendsService, IndexCreationService, Infrastructure, JWTService, microdot, NotificationsService, OpenIdProviderService, OpenIdRPService, PartnersService, PasswordService, PolicyService, RBAService, ReportsService, RequestService, SamlSpService, SchemaService, ScreenSetsService, SessionService, SiteConfigService, SiteConfigService\HierarchyService, SiteConfigService\SetSiteConfigService, SiteConfigService\SiteConfigGetterService, SiteGroupService, SitesService, SocialService, SubscriptionService, TFAProvidersService, TFAService, TokenService, UserIdService, UserManagement, USMService|Microsoft|https://github.com/dotnet/Orleans#license|https://github.com/dotnet/Orleans
Microsoft.Orleans.OrleansCodeGenerator|1.3.1|AccountsService, EmailService, ImageService, ImportFriendsService, IndexCreationService, Infrastructure, JWTService, microdot, NotificationsService, OpenIdProviderService, OpenIdRPService, PartnersService, PasswordService, PolicyService, RBAService, ReportsService, RequestService, SamlSpService, SchemaService, ScreenSetsService, SessionService, SiteConfigService, SiteConfigService\HierarchyService, SiteConfigService\SetSiteConfigService, SiteConfigService\SiteConfigGetterService, SiteGroupService, SitesService, SocialService, SubscriptionService, TFAProvidersService, TFAService, TokenService, UserIdService, UserManagement, USMService|Microsoft|https://github.com/dotnet/Orleans#license|https://github.com/dotnet/Orleans
